Player,First,Last,Active,GP,GS,W,L,TOL,GA,SA,SV,SV_PCT,GAA,SO,PIM,MIN
Mike Palmateer,1976,1984,8,356,,149,138,52,1183,986,837,0.849,3.53,17,118,20131
Alexander Salak,2009,2010,1,2,0,0,1,0,6,40,34,0.85,5.37,0,0,67
Markus Mattsson,1979,1984,4,92,,21,46,14,343,530,451,0.851,4.11,6,6,5007
Darren Eliot,1984,1989,5,89,,25,41,12,377,2536,2159,0.851,4.59,1,24,4931
Patrick Labrecque,1995,1996,1,2,,0,1,0,7,47,40,0.851,4.29,0,2,98
Brian Finley,2002,2007,3,4,,0,2,0,13,87,74,0.851,4.7,0,0,166
Rick Heinz,1980,1985,5,49,,14,19,5,159,565,482,0.853,4.05,2,6,2356
Michel Dion,1979,1985,6,227,,60,118,32,898,1253,1072,0.856,4.24,2,24,12695
Danny Lorenz,1990,1993,3,8,,1,5,0,25,174,149,0.856,4.2,0,0,357
Geoff Sarjeant,1994,1996,2,8,,1,2,1,20,139,119,0.856,4.12,0,4,291
Scott Langkow,1995,2000,4,20,,3,12,1,68,474,406,0.857,4.33,0,0,943
Jean-Marc Pelletier,1998,2004,3,7,,1,4,0,23,161,138,0.857,3.9,0,0,354
Ed Staniowski,1975,1985,10,219,,67,104,21,818,586,503,0.858,4.06,2,10,12075
Corrado Micalef,1981,1986,5,113,,26,59,15,409,1689,1449,0.858,4.24,2,43,5794
Sergei Mylnikov,1989,1990,1,10,,1,7,2,47,330,283,0.858,4.96,0,0,568
Brad Thiessen,2011,2012,1,5,4,3,1,0,16,113,97,0.858,3.72,0,2,258
Zane McIntyre,2016,2017,1,8,3,0,4,1,22,155,133,0.858,3.96,0,0,333
Tony Esposito*,1968,1984,16,886,,423,306,151,2563,622,534,0.859,2.92,76,31,52585
Steve Penney,1983,1988,5,91,,35,38,12,313,2226,1913,0.859,3.62,1,17,5194
Doug Dadswell,1986,1988,2,27,,8,8,3,99,701,602,0.859,4.41,0,2,1346
Jarmo Myllys,1988,1992,4,39,,4,27,1,161,1140,979,0.859,5.23,0,4,1846
Mike O'Neill,1991,1997,4,21,,0,9,2,61,433,372,0.859,4.28,0,0,855
Ron Low,1972,1985,11,382,,102,203,38,1463,1761,1515,0.86,4.28,4,45,20502
Frank Caprice,1982,1988,6,102,,31,46,11,391,2767,2379,0.86,4.2,1,17,5589
Marco Baron,1979,1985,6,86,,34,38,9,292,642,553,0.861,3.63,1,56,4822
Dieter Kochan,1999,2003,4,21,,1,11,1,56,406,350,0.862,3.96,0,0,849
Richard Brodeur,1979,1988,9,385,,131,175,62,1410,6245,5394,0.864,3.85,6,26,21968
Alain Chevrier,1985,1991,6,234,,91,100,14,845,6197,5352,0.864,4.16,2,35,12202
Mike Sands,1984,1987,2,6,,0,5,0,26,192,166,0.865,5.17,0,2,302
Spencer Martin,2016,2017,1,3,3,0,2,1,13,96,83,0.865,4.36,0,0,179
Don Edwards,1976,1986,10,459,,208,155,74,1449,3215,2783,0.866,3.32,16,42,26181
Tim Bernhardt,1982,1987,4,67,,17,36,7,267,1840,1594,0.866,4.27,0,4,3748
Jean-Claude Bergeron,1990,1997,6,72,,21,33,7,232,1728,1496,0.866,3.69,1,4,3772
Glenn Resch,1973,1987,14,571,,231,224,82,1761,4232,3670,0.867,3.27,26,68,32279
Doug Soetaert,1975,1987,12,284,,110,104,42,1030,2908,2521,0.867,3.97,6,68,15583
Richard Sevigny,1979,1987,8,176,,80,54,20,507,1735,1505,0.867,3.21,5,94,9485
Bob Janecyk,1983,1989,6,110,,43,47,13,432,3259,2827,0.867,4.15,2,44,6250
Jason Kasdorf,2015,2016,1,1,1,0,1,0,4,30,26,0.867,4,0,0,60
Mike Blake,1981,1984,3,40,,13,15,5,150,891,773,0.868,4.25,0,8,2117
Mark LaForest,1985,1994,6,103,,25,54,4,354,2689,2335,0.868,4.22,2,65,5032
Darrin Madeley,1992,1995,3,39,,4,23,5,140,1059,919,0.868,4.36,0,0,1928
Cal Heeter,2013,2014,1,1,1,0,0,1,5,38,33,0.868,4.69,0,0,64
Magnus Hellberg,2013,2017,3,4,1,1,0,0,5,38,33,0.868,2.7,0,0,111
Mike Bales,1992,1997,4,23,,2,15,1,77,589,512,0.869,4.13,0,2,1120
Rob Dopson,1993,1994,1,2,,0,0,0,3,23,20,0.87,4,0,0,45
Joaquin Gage,1994,2001,3,23,,4,12,1,67,515,448,0.87,3.74,0,4,1076
Greg Stefan,1981,1990,9,299,,115,127,30,1068,7106,6187,0.871,3.92,5,200,16333
Ron Scott,1983,1990,5,28,,8,13,4,91,707,616,0.871,3.77,0,2,1450
Mario Gosselin,1983,1994,9,241,,91,107,14,801,6228,5427,0.871,3.74,6,42,12857
Mario Brunetta,1987,1990,3,40,,12,17,1,128,994,866,0.871,3.9,0,16,1967
Peter Sidorkiewicz,1987,1998,8,246,,79,128,27,832,6470,5638,0.871,3.6,8,20,13881
Jimmy Waite,1988,1999,11,106,,28,41,12,293,2279,1986,0.871,3.35,4,10,5253
Mike Morrison,2005,2007,2,29,,11,7,3,67,519,452,0.871,3.28,0,2,1226
Josh Tordjman,2008,2009,1,2,2,0,2,0,8,62,54,0.871,4.07,0,0,118
Terry Kleisinger,1985,1986,1,4,,0,2,0,14,109,95,0.872,4.4,0,2,191
Norm Foster,1990,1992,2,13,,7,4,0,34,265,231,0.872,3.27,0,2,623
Patrick DesRochers,2001,2003,2,11,,2,6,1,33,258,225,0.872,3.67,0,2,540
Steve Weeks,1980,1993,13,290,,111,119,33,989,5830,5090,0.873,3.74,5,21,15879
Brian Hayward,1982,1993,11,357,,143,156,37,1242,9112,7959,0.873,3.72,8,95,20025
Pokey Reddick,1986,1994,6,132,,46,58,16,443,3487,3044,0.873,3.71,0,20,7162
Frank Pietrangelo,1987,1994,7,141,,46,59,6,490,3845,3355,0.873,4.12,1,36,7141
Mikko Koskinen,2010,2011,1,4,4,2,1,0,15,118,103,0.873,4.33,0,0,208
Jacques Cloutier,1981,1994,12,255,,82,102,24,778,5448,4764,0.874,3.64,3,51,12826
Derek Wilkinson,1995,1999,4,22,,3,12,3,57,453,396,0.874,3.67,0,2,933
Jan Lasak,2001,2003,2,6,,0,4,0,18,143,125,0.874,4.04,0,2,267
Gilles Meloche,1970,1988,18,788,,270,351,131,2756,5321,4657,0.875,3.64,20,111,45401
Greg Millen,1978,1992,14,604,,215,284,89,2281,10190,8921,0.875,3.87,17,72,35377
Roland Melanson,1980,1992,11,291,,129,106,33,995,5932,5192,0.875,3.63,6,109,16452
Troy Gamble,1986,1992,4,72,,22,29,9,229,1837,1608,0.875,3.61,1,22,3804
Kay Whitmore,1988,2002,9,155,,60,64,16,508,4050,3542,0.875,3.54,4,43,8600
Parris Duffus,1996,1997,1,1,,0,0,0,1,8,7,0.875,2.07,0,0,29
Matt Zaba,2009,2010,1,1,0,0,0,0,2,16,14,0.875,3.53,0,0,34
Connor Knapp,2013,2014,1,2,1,0,0,1,4,32,28,0.875,3.12,0,0,77
Marek Langhamer,2016,2017,1,1,0,0,0,0,1,8,7,0.875,3.75,0,0,16
Dan Bouchard,1972,1986,14,655,,286,232,113,2061,3137,2749,0.876,3.26,27,253,37919
Bob Sauve,1976,1989,13,420,,182,154,54,1377,5494,4812,0.876,3.48,8,57,23711
Wendell Young,1985,1995,10,187,,59,86,12,618,4977,4359,0.876,3.94,2,20,9410
Scott Bailey,1995,1997,2,19,,6,6,2,55,445,390,0.876,3.42,0,0,965
Martin Brochu,1998,2004,3,9,,0,5,0,22,178,156,0.876,3.58,0,2,369
Doug Keans,1979,1988,9,210,,96,64,26,666,3902,3423,0.877,3.51,4,53,11388
Craig Billington,1985,2003,15,332,,110,149,31,1034,8388,7354,0.877,3.63,9,42,17097
Tom Draper,1988,1996,6,53,,19,23,5,173,1407,1234,0.877,3.7,1,4,2807
Bruce Hoffort,1989,1991,2,9,,4,0,3,22,179,157,0.877,3.59,0,2,368
Jim Hrivnak,1989,1994,5,85,,34,30,3,262,2129,1867,0.877,3.73,0,2,4217
Les Kuntar,1993,1994,1,6,,2,2,0,16,130,114,0.877,3.18,0,2,302
Michael Wall,2006,2007,1,4,,2,2,0,10,81,71,0.877,2.97,0,0,202
Daniel Berthiaume,1986,1994,8,215,,81,90,21,714,5849,5135,0.878,3.67,5,34,11662
Peter Ing,1989,1994,4,74,,20,37,9,266,2177,1911,0.878,4.05,1,6,3941
Barry Brust,2006,2007,1,11,,2,4,1,30,245,215,0.878,3.7,0,0,486
Denis Herron,1972,1986,14,462,,146,203,76,1579,2654,2332,0.879,3.7,10,89,25608
Murray Bannerman,1977,1987,8,289,,116,125,33,1051,6174,5428,0.879,3.83,8,37,16470
Pat Riggin,1979,1988,9,350,,153,120,52,1135,4789,4209,0.879,3.43,11,41,19872
Bob Mason,1983,1991,8,145,,55,65,16,500,4146,3646,0.879,3.76,1,6,7988
Darren Jensen,1984,1986,2,30,,15,10,1,95,786,691,0.879,3.81,2,2,1496
Kari Takko,1985,1991,6,142,,37,71,14,475,3922,3447,0.879,3.9,1,30,7317
Jeff Reese,1987,1999,11,174,,53,65,17,529,4381,3852,0.879,3.66,5,30,8667
Stephane Beauregard,1989,1994,5,90,,19,39,11,268,2220,1952,0.879,3.65,2,6,4402
Pat Jablonski,1989,1998,8,128,,28,62,18,413,3411,2998,0.879,3.74,1,13,6634
Rick Knickle,1992,1994,2,14,,7,6,0,44,363,319,0.879,3.74,0,2,706
Ryan Bach,1998,1999,1,3,,0,3,0,8,66,58,0.879,4.44,0,0,108
Matt Underhill,2003,2004,1,1,,0,1,0,4,33,29,0.879,3.93,0,0,61
John Curry,2008,2015,4,8,5,3,2,1,20,165,145,0.879,3.68,0,0,326
Thomas McCollum,2010,2015,2,3,0,1,0,0,4,33,29,0.879,2.96,0,0,81
Anton Forsberg,2014,2017,3,10,9,1,8,0,33,273,240,0.879,4.02,0,0,493
Rick Wamsley,1980,1993,13,407,,204,131,46,1287,8543,7516,0.88,3.34,12,52,23123
Mike Zanier,1984,1985,1,3,,1,1,1,12,100,88,0.88,3.89,0,0,185
Vincent Riendeau,1987,1995,8,184,,85,65,20,573,4786,4213,0.88,3.3,5,14,10423
Andre Racicot,1989,1994,5,68,,26,23,8,196,1632,1436,0.88,3.5,2,6,3357
Mike Fountain,1996,2001,4,11,,2,6,0,28,234,206,0.88,3.48,1,2,483
Marc Lamothe,1999,2004,2,4,,2,1,1,13,108,95,0.88,3.24,0,0,241
Reinhard Divis,2001,2006,4,28,,6,9,3,67,560,493,0.88,3.32,0,2,1212
Mark Dekanich,2010,2011,1,1,0,0,0,0,3,25,22,0.88,3.6,0,0,50
Tristan Jarry,2016,2017,1,1,1,0,1,0,3,25,22,0.88,3.05,0,0,59
Mike Liut,1979,1992,13,664,,294,271,74,2221,11260,9917,0.881,3.49,25,22,38215
Al Jensen,1980,1987,7,179,,95,53,18,557,2796,2462,0.881,3.35,8,44,9974
Roberto Romano,1982,1994,6,126,,46,63,8,471,3800,3347,0.881,3.97,4,6,7111
Steve Guenette,1986,1991,5,35,,19,16,0,122,1024,902,0.881,3.74,1,4,1958
Bruce Racine,1995,1996,1,11,,0,3,0,12,101,89,0.881,3.13,0,2,230
Billy Smith*,1971,1989,18,680,,305,233,105,2031,5989,5284,0.882,3.17,22,489,38431
Pete Peeters,1978,1991,13,489,,246,155,51,1424,7499,6616,0.882,3.08,21,212,27699
Darren Pang,1984,1989,3,81,,27,35,7,287,2438,2151,0.882,4.05,0,6,4252
Rich Parent,1997,2001,4,32,,7,11,5,82,697,615,0.882,3.15,1,4,1561
Gerald Coleman,2005,2006,1,2,,0,0,1,2,17,15,0.882,2.79,0,0,43
Adam Berkhoel,2005,2006,1,9,,2,4,1,30,255,225,0.882,3.81,0,0,473
Peter Mannino,2008,2012,3,6,2,1,1,0,15,127,112,0.882,3.98,0,0,226
Christopher Gibson,2015,2016,1,4,2,1,1,1,11,93,82,0.882,3.4,0,0,194
Allan Bester,1983,1996,10,219,,73,99,17,786,6699,5913,0.883,4.01,7,32,11773
Tim Cheveldae,1988,1997,9,340,,149,136,37,1116,9530,8414,0.883,3.49,10,18,19172
John Tanner,1989,1992,3,21,,2,11,5,65,557,492,0.883,3.6,1,6,1084
Tobias Stephan,2007,2009,2,11,6,1,3,2,29,248,219,0.883,3.49,0,0,499
Reggie Lemelin,1978,1993,15,507,,236,162,63,1613,10238,9051,0.884,3.46,12,109,28006
Don Beaupre,1980,1997,17,667,,268,277,75,2151,15419,13627,0.884,3.45,17,283,37396
Tommy Soderstrom,1992,1997,5,156,,45,69,19,496,4265,3769,0.884,3.63,10,13,8189
Sami Aittokallio,2012,2014,2,2,2,0,1,0,5,43,38,0.884,3.37,0,0,89
Glen Hanlon,1977,1991,14,477,,167,202,61,1561,8474,7499,0.885,3.6,13,237,26037
Ken Wregget,1983,2000,17,575,,225,248,53,1917,16675,14758,0.885,3.63,9,182,31663
Don Sylvestri,1984,1985,1,3,,0,0,2,6,52,46,0.885,3.53,0,2,102
Daryl Reaugh,1984,1991,3,27,,8,9,1,72,628,556,0.885,3.47,1,4,1246
Michael Garnett,2005,2006,1,24,,10,7,4,73,634,561,0.885,3.45,2,0,1271
Jack Campbell,2013,2017,2,2,1,0,1,0,6,52,46,0.885,4.5,0,0,80
Pelle Lindbergh,1981,1986,5,157,,87,49,15,503,3094,2742,0.886,3.3,7,10,9150
Sam St. Laurent,1985,1990,5,34,,7,12,4,92,810,718,0.886,3.51,1,4,1572
Matt DelGuidice,1990,1992,2,11,,2,5,1,28,246,218,0.886,3.87,0,2,434
Clint Malarchuk,1981,1992,10,338,,141,130,45,1100,8995,7980,0.887,3.47,12,134,19030
Grant Fuhr*,1981,2000,19,868,,403,295,114,2756,21873,19403,0.887,3.38,25,120,48945
Glenn Healy,1985,2001,15,437,,166,190,47,1361,12058,10697,0.887,3.37,13,93,24256
Kirk McLean,1985,2001,16,612,,245,262,72,1904,16882,14978,0.887,3.26,22,58,35090
Wade Flaherty,1991,2003,11,120,,27,56,9,348,3093,2745,0.887,3.51,5,6,5941
Blaine Lacher,1994,1996,2,47,,22,16,4,123,1089,966,0.887,2.8,4,8,2636
Adam Munro,2003,2006,2,17,,4,10,3,51,451,400,0.887,3.3,1,2,927
David LeNeveu,2005,2011,3,22,0,5,9,2,61,540,479,0.887,3.43,0,0,1067
Jared Coreau,2016,2017,1,14,14,5,4,3,41,362,321,0.887,3.46,2,0,712
Jon Casey,1983,1997,12,425,,170,157,55,1246,11164,9918,0.888,3.21,16,126,23255
Bill Ranford,1985,2000,15,647,,240,279,76,2042,18269,16227,0.888,3.41,15,65,35936
Philippe Sauve,2003,2007,3,32,,10,14,3,93,832,739,0.888,3.45,0,23,1616
Vitali Kolesnik,2005,2006,1,8,,3,3,0,20,178,158,0.888,3.24,0,2,370
Rob Zepp,2014,2015,1,10,9,5,2,0,25,223,198,0.888,2.89,0,0,519
Jeremy Smith,2016,2017,1,10,8,1,6,1,32,286,254,0.888,3.54,0,0,543
Bob Froese,1982,1990,8,242,,128,72,20,694,5738,5103,0.889,3.1,13,90,13451
Darcy Wakaluk,1988,1997,8,191,,67,75,21,524,4739,4215,0.889,3.22,9,90,9756
Jean-Francois Labbe,1999,2003,3,15,,3,6,0,36,323,287,0.889,3.44,0,2,628
Chris Beckford-Tseu,2007,2008,1,1,0,0,0,0,1,9,8,0.889,2.22,0,0,27
Mike McKenna,2008,2015,4,22,19,5,11,2,68,610,542,0.889,3.48,1,0,1173
Nathan Lawson,2010,2014,2,11,7,1,4,2,28,253,225,0.889,4.24,0,0,396
Chris Driedger,2014,2017,3,3,0,0,1,0,4,36,32,0.889,2.53,0,0,95
Mike Vernon,1982,2002,19,781,,385,273,92,2206,19921,17726,0.89,2.98,27,271,44449
Robb Stauber,1989,1995,4,62,,21,23,9,209,1892,1683,0.89,3.81,1,22,3295
John Blue,1992,1996,3,46,,16,18,7,126,1141,1015,0.89,3,1,13,2521
Johan Holmqvist,2000,2008,5,99,47,48,34,9,262,2389,2127,0.89,2.99,3,6,5264
Rastislav Stana,2003,2004,1,6,,1,2,0,11,100,89,0.89,3.13,0,0,211
Hannu Toivonen,2005,2008,3,61,17,18,24,10,183,1658,1475,0.89,3.37,1,10,3259
Cristopher Nilstorp,2012,2014,2,6,5,1,3,1,18,163,145,0.89,3.27,0,0,330
Robbie Tallas,1995,2001,6,99,,28,42,10,246,2256,2010,0.891,2.91,3,6,5069
Tyler Moss,1997,2003,4,30,,6,16,1,81,746,665,0.891,3.25,0,0,1496
Andy Moog,1980,1998,18,713,,372,209,88,2097,17424,15546,0.892,3.13,28,230,40151
Tom Barrasso,1983,2003,19,777,,369,277,86,2385,22090,19705,0.892,3.24,38,437,44180
Chris Terreri,1986,2001,14,406,,151,172,43,1143,10623,9480,0.892,3.07,9,37,22369
Frederic Cassivi,2001,2007,4,13,,3,6,1,38,353,315,0.892,3.63,0,0,628
Sebastien Caron,2002,2012,5,95,2,26,48,12,296,2741,2445,0.892,3.44,4,12,5156
Andy Chiodo,2003,2004,1,8,,3,4,1,28,260,232,0.892,3.46,0,0,486
Matt Climie,2008,2011,3,5,4,2,2,0,15,139,124,0.892,3.25,0,0,277
Kelly Hrudey,1983,1998,15,677,,271,265,88,2174,20328,18154,0.893,3.43,17,173,38084
Rick Tabaracci,1988,2000,11,286,,93,125,30,760,7100,6340,0.893,2.99,15,72,15255
Kevin Hodson,1995,2003,6,71,,17,18,10,134,1250,1116,0.893,2.76,4,6,2910
Garret Sparks,2015,2016,1,17,17,6,9,1,49,456,407,0.893,3.02,1,0,975
Frederic Chabot,1990,1999,5,32,,4,8,4,62,583,521,0.894,2.95,0,2,1262
Jason Muzzatti,1993,1998,5,62,,13,25,10,167,1578,1411,0.894,3.32,1,61,3014
Tom Askey,1997,1998,1,7,,0,1,2,12,113,101,0.894,2.64,0,0,273
Peter Skudra,1997,2003,6,146,,51,47,20,326,3078,2752,0.894,2.73,6,6,7162
Scott Fankhouser,1999,2001,2,23,,4,12,2,65,611,546,0.894,3.31,0,6,1180
Dan Blackburn,2001,2003,2,63,,20,32,4,188,1777,1589,0.894,3.22,1,12,3499
Ron Hextall,1986,1999,13,608,,296,214,69,1723,16366,14643,0.895,2.97,23,584,34750
Ron Tugnutt,1987,2004,16,537,,186,239,62,1497,14205,12708,0.895,3.05,26,12,29486
Bob Essensa,1988,2002,12,446,,173,176,47,1270,12098,10828,0.895,3.15,18,26,24215
Dominic Roussel,1991,2001,8,205,,77,70,23,555,5299,4744,0.895,3.12,7,33,10665
Mike Torchia,1994,1995,1,6,,3,2,1,18,172,154,0.895,3.3,0,0,327
Steve Passmore,1998,2004,6,93,,23,44,12,235,2245,2010,0.895,2.79,2,21,5045
Marek Mazanec,2013,2017,3,31,25,8,13,4,82,784,702,0.895,2.97,2,0,1654
Mark Fitzpatrick,1988,2000,12,329,,113,136,49,953,9202,8249,0.896,3.12,8,85,18329
Corey Hirsch,1992,2003,7,108,,34,45,14,301,2895,2594,0.896,3.13,4,8,5775
Corey Schwab,1995,2004,8,147,,42,63,13,360,3474,3114,0.896,2.89,6,53,7476
Jean-Francois Damphousse,2001,2002,1,6,,1,3,0,12,115,103,0.896,2.45,0,0,294
Daren Puppa,1985,2000,15,429,,179,161,54,1204,11680,10476,0.897,3.03,19,48,23819
Andrei Trefilov,1992,1999,7,54,,12,25,4,153,1481,1328,0.897,3.45,2,10,2663
Eric Fichaud,1995,2001,6,95,,22,47,10,251,2445,2194,0.897,3.14,2,4,4799
Norm Maracle,1997,2002,5,66,,14,33,8,177,1720,1543,0.897,3.1,1,0,3430
Jason Bacashihua,2005,2007,2,38,,7,17,4,99,965,866,0.897,3.19,0,2,1860
Daniel Taylor,2007,2013,2,3,2,1,1,0,8,78,70,0.897,3.43,0,0,140
Eric Comrie,2016,2017,1,1,1,1,0,0,4,39,35,0.897,4.07,0,0,59
Warren Skorodenski,1981,1988,5,35,,12,11,4,100,935,840,0.898,3.46,2,2,1732
Mikhail Shtalenkov,1993,2000,7,190,,62,82,19,480,4722,4242,0.898,2.89,8,14,9966
Jamie McLennan,1993,2007,11,254,,80,109,36,617,6036,5419,0.898,2.68,13,54,13834
Jim Carey,1994,1999,5,172,,79,65,16,416,4066,3650,0.898,2.58,16,8,9668
John Grahame,1999,2008,8,224,12,97,86,18,574,5612,5038,0.898,2.79,12,51,12363
Mikael Tellqvist,2002,2009,6,113,33,45,41,10,303,2967,2664,0.898,3.01,6,2,6034
Dany Sabourin,2003,2009,5,57,35,18,25,4,139,1363,1224,0.898,2.87,2,4,2901
John Vanbiesbrouck,1981,2002,20,882,,374,346,119,2503,24678,22176,0.899,2.98,40,310,50475
Stephane Fiset,1989,2002,13,390,,164,153,44,1114,11079,9965,0.899,3.07,16,38,21785
Damian Rhodes,1990,2002,10,309,,99,140,48,820,8105,7285,0.899,2.84,12,34,17339
Arturs Irbe,1991,2004,13,568,,218,236,79,1513,15033,13520,0.899,2.83,33,90,32066
Mike Lenarduzzi,1992,1994,2,4,,1,1,1,10,99,89,0.899,3.17,0,0,189
Dan Cloutier,1997,2008,10,351,9,139,142,37,874,8625,7751,0.899,2.77,15,147,18927
Robert Esche,1998,2007,8,186,,78,64,22,464,4616,4152,0.899,2.75,10,65,10139
Fredrik Norrena,2006,2009,3,100,35,35,45,11,243,2409,2166,0.899,2.79,5,6,5235
Kevin Poulin,2010,2015,5,50,44,18,25,3,140,1392,1252,0.899,3.07,0,0,2735
Alain Raymond,1987,1988,1,1,,0,1,0,2,20,18,0.9,3,0,0,40
Scott Sharples,1991,1992,1,1,,0,0,1,4,40,36,0.9,3.69,0,0,65
Marcel Cousineau,1996,2000,4,26,,4,10,1,51,509,458,0.9,2.92,1,0,1047
Jean-Sebastien Aubin,1998,2008,9,218,12,80,83,16,547,5455,4908,0.9,2.93,7,10,11197
Milan Hnilicka,1999,2004,5,121,,29,67,13,359,3598,3239,0.9,3.31,5,14,6509
Andrew Raycroft,2000,2012,11,280,79,113,114,27,732,7339,6607,0.9,2.89,9,14,15191
Michael Leighton,2002,2017,10,110,53,37,43,14,298,2985,2687,0.9,2.98,4,6,6004
Jean-Francois Berube,2015,2017,2,21,13,6,4,3,48,481,433,0.9,3.11,0,0,926
